State/UTs,Crime Head,Year,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
Andhra Pradesh,Dowry Prohibition Act,2013,1063,1631,0,0,82,1570,115,1685,927,3268,1570,0,4838,675,1081,44,1037,3082
Arunachal Pradesh,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dowry Prohibition Act,2013,65,40,,0,0,56,4,60,45,208,56,,264,0,23,3,20,241
Bihar,Dowry Prohibition Act,2013,1008,1893,0,0,166,1284,158,1442,1293,5297,1284,0,6581,83,658,144,514,5840
Chhattisgarh,Dowry Prohibition Act,2013,0,11,0,0,0,10,0,10,1,31,10,0,41,0,6,3,3,35
Goa,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Dowry Prohibition Act,2013,0,84,0,0,0,66,2,68,16,27,66,0,93,0,13,0,13,80
Haryana,Dowry Prohibition Act,2013,2,13,0,,4,7,2,9,2,20,7,0,27,0,5,1,4,22
Himachal Pradesh,Dowry Prohibition Act,2013,0,2,0,0,0,0,0,0,2,15,0,0,15,3,2,0,2,10
Jammu & Kashmir,Dowry Prohibition Act,2013,11,3,0,0,1,2,0,2,11,19,2,0,21,0,0,0,0,21
Jharkhand,Dowry Prohibition Act,2013,639,1428,0,0,36,983,126,1109,922,1056,983,0,2039,22,774,177,597,1243
Karnataka,Dowry Prohibition Act,2013,626,1693,0,12,157,1265,19,1284,866,2910,1265,0,4175,19,682,19,663,3474
Kerala,Dowry Prohibition Act,2013,6,3,0,0,0,4,1,5,4,20,4,0,24,0,1,1,0,23
Madhya Pradesh,Dowry Prohibition Act,2013,1,72,0,0,0,70,0,70,3,272,70,0,342,1,31,18,13,310
Maharashtra,Dowry Prohibition Act,2013,4,43,0,0,2,36,0,36,9,308,36,0,344,4,36,5,31,304
Manipur,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Dowry Prohibition Act,2013,901,2014,0,0,44,1853,36,1889,982,4637,1853,0,6490,0,521,57,464,5969
Punjab,Dowry Prohibition Act,2013,5,3,0,0,1,3,1,4,3,13,3,0,16,0,3,2,1,13
Rajasthan,Dowry Prohibition Act,2013,0,57,0,0,27,27,0,27,3,24,27,0,51,4,9,3,6,38
Sikkim,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Dowry Prohibition Act,2013,71,305,0,0,17,252,21,273,86,517,252,0,769,0,150,30,120,619
Tripura,Dowry Prohibition Act,2013,0,1,,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2
Uttar Pradesh,Dowry Prohibition Act,2013,182,1277,0,0,9,750,67,817,633,702,750,0,1452,3,184,112,72,1265
Uttarakhand,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,2
West Bengal,Dowry Prohibition Act,2013,161,107,0,0,0,89,0,89,179,257,89,0,346,0,20,0,20,326
Total (States),Dowry Prohibition Act,2013,4745,10680,0,12,546,8327,552,8879,5988,19606,8327,0,27933,814,4200,619,3581,22919
A&N Islands,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Chandigarh,Dowry Prohibition Act,2013,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
D&N Haveli,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Daman & Diu,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Delhi UT,Dowry Prohibition Act,2013,40,15,0,0,1,10,1,11,43,78,10,0,88,0,2,1,1,86
Lakshadweep,Dowry Prohibition Act,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dowry Prohibition Act,2013,11,14,0,0,2,14,0,14,9,35,14,0,49,0,2,0,2,47
Total (UTs),Dowry Prohibition Act,2013,52,29,0,0,3,25,1,26,52,115,25,0,140,0,5,1,4,135
Total (All-India),Dowry Prohibition Act,2013,4797,10709,0,12,549,8352,553,8905,6040,19721,8352,0,28073,814,4205,620,3585,23054
